Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 3 files:   0%|          | 0/3 [00:00<?, ?it/s]Fetching 3 files: 100%|██████████| 3/3 [00:00<00:00, 77195.78it/s]
Loading weights:   0%|          | 0/179 [00:00<?, ?it/s]Loading weights:   2%|▏         | 4/179 [00:00<00:06, 28.89it/s]Loading weights:   9%|▉         | 16/179 [00:00<00:02, 64.90it/s]Loading weights:  21%|██        | 38/179 [00:00<00:01, 114.34it/s]Loading weights:  34%|███▎      | 60/179 [00:00<00:00, 130.28it/s]Loading weights:  46%|████▌     | 82/179 [00:00<00:00, 145.53it/s]Loading weights:  58%|█████▊    | 104/179 [00:00<00:00, 154.72it/s]Loading weights:  70%|███████   | 126/179 [00:00<00:00, 160.02it/s]Loading weights:  80%|███████▉  | 143/179 [00:01<00:00, 87.28it/s] Loading weights:  88%|████████▊ | 158/179 [00:01<00:00, 85.18it/s]Loading weights:  95%|█████████▍| 170/179 [00:01<00:00, 88.48it/s]Loading weights: 100%|██████████| 179/179 [00:01<00:00, 108.36it/s]
mode=joint lambda_pred=0.0 horizons=(1, 2, 4) | trainable 11.7M / 7.05B
step  3680 | lm 2.234 | pred 4.278 | 1245 tok/s
step  3700 | lm 2.210 | pred 4.278 | 1246 tok/s
step  3720 | lm 2.124 | pred 4.279 | 1246 tok/s
step  3740 | lm 2.183 | pred 4.274 | 1246 tok/s
step  3760 | lm 1.955 | pred 4.278 | 1246 tok/s
step  3780 | lm 2.456 | pred 4.277 | 1246 tok/s
step  3800 | lm 2.368 | pred 4.277 | 1246 tok/s
step  3820 | lm 2.207 | pred 4.277 | 1246 tok/s
step  3840 | lm 2.012 | pred 4.281 | 1246 tok/s
step  3860 | lm 2.419 | pred 4.276 | 1246 tok/s
step  3880 | lm 2.163 | pred 4.275 | 1246 tok/s
step  3900 | lm 2.433 | pred 4.277 | 1246 tok/s
step  3920 | lm 2.046 | pred 4.279 | 1246 tok/s
step  3940 | lm 2.503 | pred 4.283 | 1246 tok/s
step  3960 | lm 2.385 | pred 4.275 | 1246 tok/s
step  3980 | lm 2.573 | pred 4.276 | 1246 tok/s
  eval step 4000: lm 2.115 pred 4.278 hit@k [h1: 0.125 | h2: 0.124 | h4: 0.126] | ent 3.747 persist 0.125 util_max 0.055
step  4000 | lm 2.344 | pred 4.280 | 1243 tok/s
step  4020 | lm 2.300 | pred 4.277 | 1243 tok/s
step  4040 | lm 2.092 | pred 4.276 | 1244 tok/s
step  4060 | lm 2.355 | pred 4.277 | 1244 tok/s
step  4080 | lm 2.096 | pred 4.277 | 1244 tok/s
step  4100 | lm 1.411 | pred 4.280 | 1244 tok/s
step  4120 | lm 2.529 | pred 4.276 | 1244 tok/s
step  4140 | lm 2.563 | pred 4.275 | 1244 tok/s
step  4160 | lm 2.229 | pred 4.275 | 1244 tok/s
step  4180 | lm 2.617 | pred 4.278 | 1244 tok/s
step  4200 | lm 1.728 | pred 4.282 | 1244 tok/s
step  4220 | lm 2.252 | pred 4.274 | 1244 tok/s
step  4240 | lm 2.460 | pred 4.280 | 1244 tok/s
step  4260 | lm 2.537 | pred 4.277 | 1244 tok/s
step  4280 | lm 2.014 | pred 4.285 | 1244 tok/s
step  4300 | lm 2.876 | pred 4.285 | 1244 tok/s
step  4320 | lm 2.623 | pred 4.277 | 1244 tok/s
step  4340 | lm 2.356 | pred 4.276 | 1244 tok/s
step  4360 | lm 2.534 | pred 4.275 | 1244 tok/s
step  4380 | lm 2.423 | pred 4.277 | 1245 tok/s
step  4400 | lm 2.048 | pred 4.275 | 1245 tok/s
step  4420 | lm 1.935 | pred 4.277 | 1245 tok/s
step  4440 | lm 2.470 | pred 4.277 | 1245 tok/s
step  4460 | lm 2.463 | pred 4.276 | 1245 tok/s
step  4480 | lm 2.551 | pred 4.277 | 1245 tok/s
step  4500 | lm 2.421 | pred 4.278 | 1245 tok/s
step  4520 | lm 2.350 | pred 4.279 | 1245 tok/s
step  4540 | lm 2.383 | pred 4.279 | 1245 tok/s
step  4560 | lm 2.298 | pred 4.275 | 1245 tok/s
step  4580 | lm 2.434 | pred 4.282 | 1245 tok/s
step  4600 | lm 2.237 | pred 4.280 | 1245 tok/s
step  4620 | lm 2.697 | pred 4.279 | 1245 tok/s
step  4640 | lm 2.206 | pred 4.282 | 1245 tok/s
step  4660 | lm 2.242 | pred 4.275 | 1245 tok/s
step  4680 | lm 2.154 | pred 4.280 | 1245 tok/s
step  4700 | lm 2.402 | pred 4.277 | 1245 tok/s
step  4720 | lm 2.487 | pred 4.273 | 1245 tok/s
step  4740 | lm 2.264 | pred 4.273 | 1245 tok/s
step  4760 | lm 2.039 | pred 4.283 | 1245 tok/s
step  4780 | lm 2.690 | pred 4.280 | 1245 tok/s
step  4800 | lm 2.364 | pred 4.273 | 1245 tok/s
step  4820 | lm 2.617 | pred 4.275 | 1245 tok/s
step  4840 | lm 2.426 | pred 4.278 | 1246 tok/s
step  4860 | lm 2.121 | pred 4.275 | 1246 tok/s
