params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  5380 | lm 5.514 | pred 2.866 | 5065 tok/s
step  5400 | lm 6.105 | pred 2.865 | 5065 tok/s
step  5420 | lm 5.198 | pred 2.866 | 5065 tok/s
step  5440 | lm 5.817 | pred 2.867 | 5065 tok/s
step  5460 | lm 5.303 | pred 2.869 | 5065 tok/s
step  5480 | lm 5.950 | pred 2.867 | 5066 tok/s
  eval step 5500: lm 5.765 pred 2.867 hit@k [h1: 0.122 | h2: 0.126 | h4: 0.123] | ent 2.261 persist 0.133 util_max 0.108
step  5500 | lm 5.624 | pred 2.868 | 5060 tok/s
step  5520 | lm 5.270 | pred 2.871 | 5060 tok/s
step  5540 | lm 5.465 | pred 2.866 | 5060 tok/s
step  5560 | lm 5.180 | pred 2.871 | 5061 tok/s
step  5580 | lm 5.458 | pred 2.869 | 5061 tok/s
step  5600 | lm 5.933 | pred 2.865 | 5061 tok/s
step  5620 | lm 5.971 | pred 2.866 | 5061 tok/s
step  5640 | lm 5.271 | pred 2.864 | 5062 tok/s
step  5660 | lm 5.705 | pred 2.868 | 5062 tok/s
step  5680 | lm 5.743 | pred 2.866 | 5062 tok/s
step  5700 | lm 5.976 | pred 2.872 | 5062 tok/s
step  5720 | lm 5.240 | pred 2.869 | 5063 tok/s
step  5740 | lm 5.363 | pred 2.870 | 5063 tok/s
step  5760 | lm 5.395 | pred 2.872 | 5063 tok/s
step  5780 | lm 5.763 | pred 2.867 | 5063 tok/s
step  5800 | lm 5.532 | pred 2.869 | 5064 tok/s
step  5820 | lm 5.701 | pred 2.869 | 5064 tok/s
step  5840 | lm 5.644 | pred 2.867 | 5064 tok/s
step  5860 | lm 5.478 | pred 2.870 | 5064 tok/s
step  5880 | lm 5.462 | pred 2.866 | 5064 tok/s
step  5900 | lm 5.490 | pred 2.869 | 5064 tok/s
step  5920 | lm 5.639 | pred 2.866 | 5065 tok/s
step  5940 | lm 5.658 | pred 2.871 | 5065 tok/s
step  5960 | lm 5.711 | pred 2.866 | 5065 tok/s
step  5980 | lm 6.000 | pred 2.866 | 5065 tok/s
  eval step 6000: lm 5.761 pred 2.867 hit@k [h1: 0.122 | h2: 0.125 | h4: 0.123] | ent 2.261 persist 0.133 util_max 0.108
saved ckpt_A_base.pt
Fatal Python error: PyGILState_Release: thread state 0x7f2ff00036c0 must be current when releasing
Python runtime state: finalizing (tstate=0x0000000000a7f5b0)

Thread 0x00007f3345fb6780 (most recent call first):
  <no Python frame>

Extension modules: numpy._core._multiarray_umath, numpy.linalg._umath_linalg, torch._C, torch._C._dynamo.autograd_compiler, torch._C._dynamo.eval_frame, torch._C._dynamo.guards, torch._C._dynamo.utils, torch._C._fft, torch._C._linalg, torch._C._nested, torch._C._nn, torch._C._sparse, torch._C._special, numpy.random._common, numpy.random.bit_generator, numpy.random._bounded_integers, numpy.random._pcg64, numpy.random._generator, numpy.random._mt19937, numpy.random._philox, numpy.random._sfc64, numpy.random.mtrand, pyarrow.lib, _cyutility, pandas._libs._cyutility, pandas._libs.tslibs.ccalendar, pandas._libs.tslibs.np_datetime, pandas._libs.tslibs.dtypes, pandas._libs.tslibs.base, pandas._libs.tslibs.nattype, pandas._libs.tslibs.timezones, pandas._libs.properties, pandas._libs.tslibs.fields, pandas._libs.tslibs.timedeltas, pandas._libs.tslibs.tzconversion, pandas._libs.tslibs.timestamps, pandas._libs.tslibs.offsets, pandas._libs.tslibs.strptime, pandas._libs.tslibs.parsing, pandas._libs.tslibs.conversion, pandas._libs.tslibs.period, pandas._libs.tslibs.vectorized, pandas._libs.ops_dispatch, pandas._libs.missing, pandas._libs.hashtable, pandas._libs.algos, pandas._libs.interval, pandas._libs.lib, pyarrow._compute, pandas._libs.ops, pandas._libs.hashing, pandas._libs.arrays, pandas._libs.tslib, pandas._libs.sparse, pandas._libs.internals, pandas._libs.indexing, pandas._libs.index, pandas._libs.writers, pandas._libs.join, pandas._libs.window.aggregations, pandas._libs.window.indexers, pandas._libs.reshape, pandas._libs.groupby, pandas._libs.json, pandas._libs.parsers, pandas._libs.testing, pyarrow._acero, pyarrow._fs, pyarrow._csv, pyarrow._json, pyarrow._substrait, pyarrow._dataset, pyarrow._dataset_orc, pyarrow._parquet, pyarrow._azurefs, pyarrow._hdfs, pyarrow._gcsfs, pyarrow._s3fs, pyarrow._parquet_encryption, pyarrow._dataset_parquet_encryption, pyarrow._dataset_parquet, yaml._yaml, charset_normalizer.md, charset_normalizer.cd, requests.packages.charset_normalizer.md, requests.packages.chardet.md, requests.packages.charset_normalizer.cd, requests.packages.chardet.cd, multidict._multidict, yarl._quoting_c, propcache._helpers_c, aiohttp._http_writer, aiohttp._http_parser, aiohttp._websocket.mask, aiohttp._websocket.reader_c, frozenlist._frozenlist, xxhash._xxhash, regex._regex (total: 98)
./run_tierA2.sh: line 5: 2743830 Aborted                 $PY -u train.py --tier A --horizons 1,2,4 --lambda-pred 0.0 --steps 6000 --batch 8 --eval-every 500 --device cuda --save ckpt_A_base.pt
params: 341M total / 99M active | mode=joint lambda_pred=0.3
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 10.990 | pred 2.870 | 2517 tok/s
step    20 | lm 10.045 | pred 2.808 | 4840 tok/s
step    40 | lm 8.878 | pred 2.442 | 4972 tok/s
step    60 | lm 8.017 | pred 2.870 | 5027 tok/s
step    80 | lm 7.390 | pred 2.629 | 5051 tok/s
step   100 | lm 7.373 | pred 2.413 | 5065 tok/s
step   120 | lm 7.589 | pred 2.086 | 5075 tok/s
step   140 | lm 7.179 | pred 2.088 | 5082 tok/s
step   160 | lm 7.448 | pred 1.954 | 5086 tok/s
step   180 | lm 7.292 | pred 1.838 | 5085 tok/s
step   200 | lm 7.018 | pred 1.888 | 5087 tok/s
step   220 | lm 7.429 | pred 1.757 | 5089 tok/s
step   240 | lm 7.137 | pred 1.779 | 5087 tok/s
step   260 | lm 7.139 | pred 1.698 | 5089 tok/s
step   280 | lm 6.922 | pred 1.716 | 5091 tok/s
step   300 | lm 6.481 | pred 1.696 | 5092 tok/s
step   320 | lm 6.595 | pred 1.609 | 5094 tok/s
step   340 | lm 6.534 | pred 1.590 | 5092 tok/s
step   360 | lm 7.077 | pred 1.588 | 5093 tok/s
step   380 | lm 6.855 | pred 1.520 | 5093 tok/s
step   400 | lm 6.880 | pred 1.561 | 5093 tok/s
step   420 | lm 7.318 | pred 1.558 | 5093 tok/s
step   440 | lm 6.750 | pred 1.550 | 5094 tok/s
step   460 | lm 6.865 | pred 1.530 | 5095 tok/s
step   480 | lm 6.692 | pred 1.452 | 5096 tok/s
