params: 94M total / 56M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  5740 | lm 5.624 | pred 2.131 | 19490 tok/s
step  5760 | lm 5.510 | pred 2.135 | 19490 tok/s
step  5780 | lm 5.556 | pred 2.129 | 19491 tok/s
step  5800 | lm 6.052 | pred 2.134 | 19492 tok/s
step  5820 | lm 5.532 | pred 2.132 | 19493 tok/s
step  5840 | lm 6.177 | pred 2.132 | 19494 tok/s
step  5860 | lm 5.956 | pred 2.132 | 19495 tok/s
step  5880 | lm 6.147 | pred 2.131 | 19496 tok/s
step  5900 | lm 5.638 | pred 2.133 | 19497 tok/s
step  5920 | lm 5.706 | pred 2.131 | 19498 tok/s
step  5940 | lm 5.465 | pred 2.127 | 19499 tok/s
step  5960 | lm 5.906 | pred 2.131 | 19500 tok/s
step  5980 | lm 6.452 | pred 2.130 | 19501 tok/s
  eval step 6000: lm 6.285 pred 2.129 hit@k [h1: 0.256 | h2: 0.255 | h4: 0.260]
saved ckpt_h124_base.pt
Fatal Python error: PyGILState_Release: thread state 0x7fd995741750 must be current when releasing
Python runtime state: finalizing (tstate=0x0000000000a7f5b0)

Thread 0x00007fdcb47e9780 (most recent call first):
  <no Python frame>

Extension modules: numpy._core._multiarray_umath, numpy.linalg._umath_linalg, torch._C, torch._C._dynamo.autograd_compiler, torch._C._dynamo.eval_frame, torch._C._dynamo.guards, torch._C._dynamo.utils, torch._C._fft, torch._C._linalg, torch._C._nested, torch._C._nn, torch._C._sparse, torch._C._special, numpy.random._common, numpy.random.bit_generator, numpy.random._bounded_integers, numpy.random._pcg64, numpy.random._generator, numpy.random._mt19937, numpy.random._philox, numpy.random._sfc64, numpy.random.mtrand, pyarrow.lib, _cyutility, pandas._libs._cyutility, pandas._libs.tslibs.ccalendar, pandas._libs.tslibs.np_datetime, pandas._libs.tslibs.dtypes, pandas._libs.tslibs.base, pandas._libs.tslibs.nattype, pandas._libs.tslibs.timezones, pandas._libs.properties, pandas._libs.tslibs.fields, pandas._libs.tslibs.timedeltas, pandas._libs.tslibs.tzconversion, pandas._libs.tslibs.timestamps, pandas._libs.tslibs.offsets, pandas._libs.tslibs.strptime, pandas._libs.tslibs.parsing, pandas._libs.tslibs.conversion, pandas._libs.tslibs.period, pandas._libs.tslibs.vectorized, pandas._libs.ops_dispatch, pandas._libs.missing, pandas._libs.hashtable, pandas._libs.algos, pandas._libs.interval, pandas._libs.lib, pyarrow._compute, pandas._libs.ops, pandas._libs.hashing, pandas._libs.arrays, pandas._libs.tslib, pandas._libs.sparse, pandas._libs.internals, pandas._libs.indexing, pandas._libs.index, pandas._libs.writers, pandas._libs.join, pandas._libs.window.aggregations, pandas._libs.window.indexers, pandas._libs.reshape, pandas._libs.groupby, pandas._libs.json, pandas._libs.parsers, pandas._libs.testing, pyarrow._acero, pyarrow._fs, pyarrow._csv, pyarrow._json, pyarrow._substrait, pyarrow._dataset, pyarrow._dataset_orc, pyarrow._parquet, pyarrow._azurefs, pyarrow._hdfs, pyarrow._gcsfs, pyarrow._s3fs, pyarrow._parquet_encryption, pyarrow._dataset_parquet_encryption, pyarrow._dataset_parquet, yaml._yaml, charset_normalizer.md, charset_normalizer.cd, requests.packages.charset_normalizer.md, requests.packages.chardet.md, requests.packages.charset_normalizer.cd, requests.packages.chardet.cd, multidict._multidict, yarl._quoting_c, propcache._helpers_c, aiohttp._http_writer, aiohttp._http_parser, aiohttp._websocket.mask, aiohttp._websocket.reader_c, frozenlist._frozenlist, xxhash._xxhash, regex._regex (total: 98)
./run_h124_rest.sh: line 4: 1316992 Aborted                 $PY -u train.py --tier B --horizons 1,2,4 --lambda-pred 0.0 --steps 6000 --batch 8 --eval-every 500 --device cuda --save ckpt_h124_base.pt
params: 94M total / 56M active | mode=posthoc lambda_pred=1.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 6.041 | pred 2.130 | 639 tok/s
step    20 | lm 5.937 | pred 2.103 | 11566 tok/s
step    40 | lm 5.872 | pred 2.031 | 19882 tok/s
step    60 | lm 5.865 | pred 1.937 | 26461 tok/s
step    80 | lm 5.793 | pred 1.800 | 31742 tok/s
step   100 | lm 6.202 | pred 1.698 | 36104 tok/s
step   120 | lm 5.923 | pred 1.625 | 39713 tok/s
step   140 | lm 6.020 | pred 1.552 | 42858 tok/s
step   160 | lm 6.267 | pred 1.515 | 45549 tok/s
step   180 | lm 6.155 | pred 1.454 | 47916 tok/s
step   200 | lm 5.585 | pred 1.432 | 49954 tok/s
step   220 | lm 6.212 | pred 1.416 | 51751 tok/s
step   240 | lm 6.338 | pred 1.394 | 53327 tok/s
step   260 | lm 6.111 | pred 1.353 | 54758 tok/s
step   280 | lm 6.146 | pred 1.371 | 56056 tok/s
step   300 | lm 6.326 | pred 1.350 | 57223 tok/s
step   320 | lm 6.240 | pred 1.332 | 58287 tok/s
step   340 | lm 5.581 | pred 1.335 | 59274 tok/s
step   360 | lm 6.129 | pred 1.314 | 60165 tok/s
step   380 | lm 5.867 | pred 1.322 | 60991 tok/s
step   400 | lm 6.046 | pred 1.312 | 61739 tok/s
step   420 | lm 6.071 | pred 1.289 | 62442 tok/s
step   440 | lm 6.203 | pred 1.280 | 63093 tok/s
step   460 | lm 5.882 | pred 1.284 | 63700 tok/s
step   480 | lm 6.134 | pred 1.279 | 64304 tok/s
  eval step 500: lm 5.958 pred 1.284 hit@k [h1: 0.840 | h2: 0.808 | h4: 0.731]
step   500 | lm 5.723 | pred 1.255 | 63193 tok/s
step   520 | lm 5.639 | pred 1.279 | 63701 tok/s
step   540 | lm 5.929 | pred 1.273 | 64219 tok/s
step   560 | lm 6.131 | pred 1.269 | 64706 tok/s
step   580 | lm 5.918 | pred 1.286 | 65198 tok/s
step   600 | lm 5.984 | pred 1.285 | 65628 tok/s
step   620 | lm 5.870 | pred 1.267 | 66044 tok/s
step   640 | lm 5.852 | pred 1.273 | 66417 tok/s
step   660 | lm 6.094 | pred 1.277 | 66787 tok/s
step   680 | lm 5.565 | pred 1.272 | 67127 tok/s
step   700 | lm 6.001 | pred 1.258 | 67474 tok/s
step   720 | lm 5.760 | pred 1.284 | 67776 tok/s
step   740 | lm 6.685 | pred 1.282 | 68084 tok/s
step   760 | lm 6.046 | pred 1.265 | 68348 tok/s
step   780 | lm 5.736 | pred 1.272 | 68628 tok/s
step   800 | lm 5.805 | pred 1.281 | 68903 tok/s
step   820 | lm 6.055 | pred 1.266 | 69181 tok/s
step   840 | lm 6.211 | pred 1.271 | 69438 tok/s
step   860 | lm 6.207 | pred 1.261 | 69684 tok/s
step   880 | lm 5.797 | pred 1.262 | 69902 tok/s
step   900 | lm 5.829 | pred 1.258 | 70141 tok/s
step   920 | lm 6.419 | pred 1.274 | 70371 tok/s
step   940 | lm 6.103 | pred 1.272 | 70595 tok/s
step   960 | lm 6.010 | pred 1.281 | 70797 tok/s
step   980 | lm 5.888 | pred 1.266 | 70990 tok/s
  eval step 1000: lm 5.996 pred 1.267 hit@k [h1: 0.845 | h2: 0.813 | h4: 0.735]
step  1000 | lm 6.158 | pred 1.259 | 70216 tok/s
step  1020 | lm 5.835 | pred 1.268 | 70406 tok/s
step  1040 | lm 6.077 | pred 1.258 | 70590 tok/s
step  1060 | lm 5.760 | pred 1.262 | 70761 tok/s
step  1080 | lm 6.056 | pred 1.269 | 70927 tok/s
step  1100 | lm 6.002 | pred 1.261 | 71102 tok/s
step  1120 | lm 6.321 | pred 1.277 | 71255 tok/s
step  1140 | lm 6.293 | pred 1.258 | 71418 tok/s
step  1160 | lm 6.014 | pred 1.265 | 71571 tok/s
step  1180 | lm 6.027 | pred 1.266 | 71729 tok/s
step  1200 | lm 6.156 | pred 1.316 | 71881 tok/s
step  1220 | lm 6.111 | pred 1.249 | 72020 tok/s
step  1240 | lm 6.364 | pred 1.261 | 72153 tok/s
step  1260 | lm 5.992 | pred 1.300 | 72288 tok/s
step  1280 | lm 5.993 | pred 1.263 | 72401 tok/s
step  1300 | lm 5.717 | pred 1.267 | 72526 tok/s
step  1320 | lm 5.982 | pred 1.285 | 72656 tok/s
step  1340 | lm 5.579 | pred 1.269 | 72788 tok/s
step  1360 | lm 6.089 | pred 1.272 | 72901 tok/s
