Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 3 files:   0%|          | 0/3 [00:00<?, ?it/s]Fetching 3 files: 100%|██████████| 3/3 [00:00<00:00, 26546.23it/s]
Loading weights:   0%|          | 0/179 [00:00<?, ?it/s]Loading weights:   3%|▎         | 5/179 [00:00<00:04, 38.77it/s]Loading weights:  15%|█▍        | 26/179 [00:00<00:04, 37.98it/s]Loading weights:  17%|█▋        | 30/179 [00:00<00:04, 35.83it/s]Loading weights:  27%|██▋       | 49/179 [00:01<00:03, 35.95it/s]Loading weights:  33%|███▎      | 59/179 [00:01<00:03, 37.78it/s]Loading weights:  40%|███▉      | 71/179 [00:01<00:02, 48.22it/s]Loading weights:  52%|█████▏    | 93/179 [00:01<00:01, 70.88it/s]Loading weights:  58%|█████▊    | 104/179 [00:02<00:01, 59.52it/s]Loading weights:  70%|███████   | 126/179 [00:02<00:00, 79.84it/s]Loading weights:  83%|████████▎ | 148/179 [00:02<00:00, 72.97it/s]Loading weights:  95%|█████████▍| 170/179 [00:02<00:00, 91.64it/s]Loading weights: 100%|██████████| 179/179 [00:02<00:00, 65.58it/s]
mode=joint lambda_pred=0.0 horizons=(1, 2, 4) | trainable 11.7M / 7.05B
  eval step 4000: lm 4.309 pred 4.275 hit@k [h1: 0.124 | h2: 0.124 | h4: 0.123] | ent 3.847 persist 0.125 util_max 0.060
step  4000 | lm 4.461 | pred 4.274 | 1227 tok/s
step  4020 | lm 4.638 | pred 4.274 | 1227 tok/s
step  4040 | lm 4.192 | pred 4.273 | 1227 tok/s
step  4060 | lm 4.522 | pred 4.274 | 1227 tok/s
step  4080 | lm 4.107 | pred 4.277 | 1227 tok/s
step  4100 | lm 3.620 | pred 4.280 | 1227 tok/s
step  4120 | lm 4.662 | pred 4.275 | 1227 tok/s
step  4140 | lm 4.848 | pred 4.272 | 1227 tok/s
step  4160 | lm 4.257 | pred 4.273 | 1227 tok/s
step  4180 | lm 4.904 | pred 4.274 | 1227 tok/s
step  4200 | lm 3.909 | pred 4.278 | 1227 tok/s
step  4220 | lm 4.520 | pred 4.273 | 1227 tok/s
step  4240 | lm 5.025 | pred 4.278 | 1227 tok/s
step  4260 | lm 4.613 | pred 4.273 | 1227 tok/s
step  4280 | lm 3.808 | pred 4.280 | 1227 tok/s
step  4300 | lm 4.992 | pred 4.280 | 1228 tok/s
step  4320 | lm 4.724 | pred 4.277 | 1228 tok/s
step  4340 | lm 4.449 | pred 4.273 | 1228 tok/s
step  4360 | lm 4.620 | pred 4.273 | 1228 tok/s
step  4380 | lm 4.527 | pred 4.276 | 1228 tok/s
step  4400 | lm 4.352 | pred 4.276 | 1228 tok/s
step  4420 | lm 4.140 | pred 4.272 | 1228 tok/s
step  4440 | lm 4.705 | pred 4.277 | 1228 tok/s
step  4460 | lm 4.668 | pred 4.271 | 1228 tok/s
step  4480 | lm 4.822 | pred 4.277 | 1228 tok/s
step  4500 | lm 4.667 | pred 4.273 | 1228 tok/s
step  4520 | lm 4.566 | pred 4.274 | 1228 tok/s
step  4540 | lm 4.708 | pred 4.275 | 1228 tok/s
step  4560 | lm 4.609 | pred 4.276 | 1228 tok/s
step  4580 | lm 4.716 | pred 4.275 | 1228 tok/s
step  4600 | lm 4.729 | pred 4.276 | 1228 tok/s
step  4620 | lm 4.733 | pred 4.276 | 1228 tok/s
step  4640 | lm 4.473 | pred 4.281 | 1228 tok/s
step  4660 | lm 4.520 | pred 4.274 | 1228 tok/s
step  4680 | lm 4.322 | pred 4.278 | 1228 tok/s
step  4700 | lm 4.684 | pred 4.275 | 1228 tok/s
step  4720 | lm 4.678 | pred 4.275 | 1228 tok/s
step  4740 | lm 4.446 | pred 4.275 | 1228 tok/s
step  4760 | lm 4.288 | pred 4.278 | 1229 tok/s
step  4780 | lm 4.856 | pred 4.276 | 1229 tok/s
